OTUID	Kingdom	Phylum	Class	Order	Family	Genus	A1_b	A2_b	A3_b	A4_b	A5_b	A6_b	B1_b	B2_b	B3_b	B4_b	B5_b	B6_b	C1_b	C2_b	C3_b	C4_b	C5_b	C6_b	D1_b	D2_b	D3_b	D4_b	D5_b	D6_b	E1_b	E2_b	E3_b	E4_b	E5_b	E6_b
c0993401115369638c7bec4bec5981d7	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Unidentified_Mitochondria	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	474	150	64	240	110	444
aa2a4b5cee7b425c33de2aef76ace28c	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	366	388	98	194	196	164
43e1b17b9974c1f24dc3db00355c9257	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Roseiflexaceae	Uncultured	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	438	158	50	336	260	156
d2afec9d586765ccd365c8d225010228	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	410	152	74	266	290	212
53903158801eb4b694d25e3427a7f6fd	Bacteria	Actinobacteria	Actinobacteria	Streptosporangiales	Nocardiopsaceae	Nocardiopsis	0	0	0	0	0	0	0	0	0	0	0	0	74	60	60	130	206	146	0	0	0	0	40	0	206	54	32	122	140	122
5602d10a6d065f26324435e9c0ba15dc	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Devosiaceae	Devosia	0	0	0	0	0	0	0	0	0	0	0	0	126	142	68	182	254	168	0	0	38	12	16	50	40	46	0	102	70	32
fd68eb94bbe16fb71cf1da0285542026	Bacteria	Actinobacteria	Actinobacteria	Streptosporangiales	Nocardiopsaceae	Nocardiopsis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	392	142	70	328	188	188
83e948f389f9d97b0c975afc880989e8	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	186	88	156	200	212	156	10	0	0	0	0	0	0	0	0	10	0	0	0	6	0	0	0	48	48	0	12	36	94	36
a86d12b5b6afc410648fbecba3b8dc4b	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Weeksellaceae	Chryseobacterium	0	0	0	0	0	0	56	114	110	304	418	92	0	0	0	0	42	52	38	54	0	0	0	0	0	0	0	0	0	0
58e7bb9a261820346665bbd68d3094a6	Bacteria	Cyanobacteria	Oxyphotobacteria	Chloroplast	Unidentified_Chloroplast	Unidentified_Chloroplast	0	0	0	0	0	0	0	0	0	0	0	0	76	118	24	332	276	350	0	0	0	32	0	68	0	0	0	0	0	0
4552af3e905206840cf8b67bcaf2693f	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Unidentified_Enterobacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	110	182	120	164	226	144	22	0	36	62	40	54	34	0	0	0	26	40
c8183367bffb7de1e4c8917a9fc3f6c2	Bacteria	Actinobacteria	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Saccharopolyspora	0	0	2	0	0	0	0	0	0	0	0	0	196	152	96	196	234	224	0	0	0	36	56	32	0	0	0	0	10	22
0ff52ecd45be79c478d82cfd5bd2e9cd	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	0	0	0	0	0	0	0	6	0	0	0	0	166	120	118	196	274	190	0	0	40	22	24	56	44	0	0	0	0	0
19edccc18a03b9c0d0b50886d8d2f2d0	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Halomonas	0	0	0	0	0	0	0	0	0	0	0	0	166	172	96	222	342	128	0	0	28	16	28	52	0	0	0	0	0	0
3b94c19ef326eea0918e1c3d244c999c	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Unidentified_Enterobacteriaceae	186	0	248	286	172	346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
65d43491988bfe557da4d86a5ba25dae	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	202	152	238	254	184	174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0
7d0d1128850e28ffeb3067dabecee9ba	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnoclostridium_5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	388	144	34	278	182	200
