OTUID	A1_b	A2_b	A3_b	A4_b	A5_b	A6_b	B1_b	B2_b	B3_b	B4_b	B5_b	B6_b	C1_b	C2_b	C3_b	C4_b	C5_b	C6_b	D1_b	D2_b	D3_b	D4_b	D5_b	D6_b	E1_b	E2_b	E3_b	E4_b	E5_b	E6_b
4608fae4bbc9964cdd17af8782f2155e	0	0	14	0	0	0	0	0	0	0	0	0	334	300	404	284	454	348	0	0	40	40	128	48	0	0	0	0	0	0
6acc19f5ab853b39a7171fd258de288e	6	2	0	0	6	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	794	286	50	432	246	362
4d53a2830b7d5cd71bf509b03e90a152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	516	288	118	444	400	404
706a463876c3dc515cd29492c0be4e47	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	534	312	168	414	364	316
ef5c15da7632abb7bfffba81c7841593	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	472	224	218	322	406	464
f14de86dcf706d517ff3b72e6f3c1e02	430	588	460	308	0	220	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	20
96d725f0f8da6584ac9a5be0ae04878a	0	0	0	0	0	0	0	10	0	26	24	14	0	0	0	0	0	0	38	64	52	60	134	456	318	248	72	204	150	190
7ff88dbea4ce7d76b206f76f944cfa2d	0	0	0	0	0	0	0	0	0	0	0	0	340	178	130	300	478	394	0	0	90	18	40	92	0	0	0	0	0	0
c06ccd1f7d57566ef669942328b1a946	0	0	0	0	0	0	58	166	186	326	256	166	0	34	0	0	84	110	52	98	74	72	126	40	52	28	24	36	30	16
569653b1659271a290facfcedd0de061	0	0	4	0	0	6	8	0	0	0	16	14	46	18	30	0	62	42	102	102	108	92	128	558	168	92	92	138	96	88
97a517e8982ed656ee0601ab6ce3fc17	0	0	0	0	0	0	0	0	0	0	0	0	104	86	122	52	102	110	0	0	22	0	42	12	202	186	130	340	306	182
bdf8a26094624622d68509a87fa75ba7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	40	26	34	0	48	504	142	48	158	320	552
941193b8dd7444cb28f54780780e8ec6	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	502	222	62	314	366	366
6e0ee36ee1f02aa82cb6072ea2a8c0f4	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	442	182	122	294	310	472
ee6bd9c6850ab03e7dc6e29661658c41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	256	124	80	466	498	370
5c9dbe36d5c807b2f6b4c78cf1d05c9d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	536	176	66	314	306	368
3c07d2b8481cf8bb9dcf0c0f276c052a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	434	250	154	316	294	290
9835b27b9a8357a476c7745482e82d60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	474	220	90	320	312	294
bc36214890a26655bb0101cf1456eef4	0	0	0	0	0	0	0	0	0	0	0	0	160	136	120	166	222	176	58	28	210	106	124	116	0	0	0	0	0	0
8afaa0a890bbbfaeac628f1d2816001e	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	454	182	156	394	180	248
7950b986622a877a28770aef4b4c4dd2	0	0	0	0	0	0	0	0	0	0	0	0	36	10	0	22	44	32	0	0	0	0	0	0	302	200	194	276	212	290
8182625a8ffbd4392229722be8819c9b	0	0	0	2	0	2	0	0	0	0	2	2	32	64	0	464	190	734	0	4	2	10	0	104	0	0	0	2	0	0
def6831651d1755be223baa92d3e23cf	0	0	0	0	0	0	0	0	0	0	0	0	20	22	16	26	72	40	0	4	8	0	8	8	388	162	64	244	186	314
59b3a8926b740935f1619e733dfcc177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	486	270	50	346	204	162
354b4fa06194d962f7d2fb2056282706	264	218	302	284	164	264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c0993401115369638c7bec4bec5981d7	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	474	150	64	240	110	444
aa2a4b5cee7b425c33de2aef76ace28c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	366	388	98	194	196	164
43e1b17b9974c1f24dc3db00355c9257	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	438	158	50	336	260	156
d2afec9d586765ccd365c8d225010228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	410	152	74	266	290	212
53903158801eb4b694d25e3427a7f6fd	0	0	0	0	0	0	0	0	0	0	0	0	74	60	60	130	206	146	0	0	0	0	40	0	206	54	32	122	140	122
5602d10a6d065f26324435e9c0ba15dc	0	0	0	0	0	0	0	0	0	0	0	0	126	142	68	182	254	168	0	0	38	12	16	50	40	46	0	102	70	32
fd68eb94bbe16fb71cf1da0285542026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	392	142	70	328	188	188
83e948f389f9d97b0c975afc880989e8	186	88	156	200	212	156	10	0	0	0	0	0	0	0	0	10	0	0	0	6	0	0	0	48	48	0	12	36	94	36
a86d12b5b6afc410648fbecba3b8dc4b	0	0	0	0	0	0	56	114	110	304	418	92	0	0	0	0	42	52	38	54	0	0	0	0	0	0	0	0	0	0
58e7bb9a261820346665bbd68d3094a6	0	0	0	0	0	0	0	0	0	0	0	0	76	118	24	332	276	350	0	0	0	32	0	68	0	0	0	0	0	0
4552af3e905206840cf8b67bcaf2693f	0	0	0	0	0	0	0	0	0	0	0	0	110	182	120	164	226	144	22	0	36	62	40	54	34	0	0	0	26	40
c8183367bffb7de1e4c8917a9fc3f6c2	0	0	2	0	0	0	0	0	0	0	0	0	196	152	96	196	234	224	0	0	0	36	56	32	0	0	0	0	10	22
0ff52ecd45be79c478d82cfd5bd2e9cd	0	0	0	0	0	0	0	6	0	0	0	0	166	120	118	196	274	190	0	0	40	22	24	56	44	0	0	0	0	0
19edccc18a03b9c0d0b50886d8d2f2d0	0	0	0	0	0	0	0	0	0	0	0	0	166	172	96	222	342	128	0	0	28	16	28	52	0	0	0	0	0	0
3b94c19ef326eea0918e1c3d244c999c	186	0	248	286	172	346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
65d43491988bfe557da4d86a5ba25dae	202	152	238	254	184	174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0
7d0d1128850e28ffeb3067dabecee9ba	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	388	144	34	278	182	200
dd8229814f2d127e61ac92c5d275db8b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	278	126	122	260	236	202
0ed6854f5740a2eea5deb3af31db72c0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	412	118	90	228	142	214
b82c3535fb937a58b95e70647a411c16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	224	168	58	266	322	138
c83d3715398517b82246ea219c3b0781	0	0	0	0	0	0	0	0	0	0	0	0	144	142	60	164	232	244	0	0	32	20	12	32	30	6	0	20	0	16
beac7c84e8eae8c4e9f6140a46f5843a	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92	538	24	262	52	166
20b3df08cd5fac2be26a2928155bab69	0	0	0	0	0	0	0	0	14	14	0	0	0	56	0	58	92	0	0	0	12	18	32	24	176	110	62	194	150	112
243f0a8a86efa886a49c9d68e0524b63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	372	138	34	158	208	186
8ce12e88f6b59bb09494567f0d678092	0	0	0	0	0	0	8	16	20	20	22	32	12	10	12	12	26	14	0	0	0	0	0	12	228	136	24	216	154	110
ea60638f9057ef506db0120b45f7cd16	0	0	0	0	0	0	0	16	0	18	12	0	78	46	30	66	94	78	26	20	94	50	80	36	84	12	12	68	70	72
a1ed615a4ed0b08c534fcc504a4608b2	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	258	122	0	178	320	156
6d7c3591a60351934fa6070a0db83176	0	0	0	0	0	0	0	0	0	0	0	0	72	110	74	104	176	116	0	0	20	0	18	34	62	42	18	64	84	50
