OTUID	A1_b	A2_b	A3_b	A4_b	A5_b	A6_b	B1_b	B2_b	B3_b	B4_b	B5_b	B6_b	C1_b	C2_b	C3_b	C4_b	C5_b	C6_b	D1_b	D2_b	D3_b	D4_b	D5_b	D6_b	E1_b	E2_b	E3_b	E4_b	E5_b	E6_b
ASV28	0	0	0	0	0	0	14	0	4	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	1950	630	316	1042	976	552
ASV29	492	394	638	700	476	618	30	38	26	92	88	36	184	238	220	238	378	268	18	0	36	40	54	38	0	38	0	0	0	30
ASV30	360	682	660	520	0	170	0	0	0	0	0	0	0	0	0	0	0	0	0	800	466	1020	694	0	0	0	0	0	0	0
ASV31	0	0	0	0	0	0	0	0	0	0	10	0	102	34	166	20	82	24	0	0	6	12	30	0	1096	728	294	912	760	650
ASV32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1338	600	234	816	824	778
ASV33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1282	654	368	768	774	744
ASV34	606	780	806	800	512	840	66	0	0	0	8	0	24	0	0	0	16	0	12	20	0	22	0	0	0	0	0	30	0	0
ASV35	0	894	954	1068	694	790	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	20	0	0	0	0	16	0	0
ASV36	432	458	566	492	318	452	0	0	0	0	0	0	78	50	34	88	88	92	66	268	224	220	290	166	0	0	0	0	0	0
ASV37	470	414	510	484	296	442	0	0	0	0	0	0	76	94	36	76	96	100	68	184	218	286	270	158	0	54	0	0	0	20
ASV38	0	52	0	14	0	20	0	0	0	0	0	0	58	36	34	84	82	144	14	40	18	30	52	66	894	470	176	740	716	488
ASV39	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	684	1192	224	610	804	694
ASV40	614	740	822	716	440	768	44	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0
