OTUID	Kingdom	Phylum	Class	Order	Family	Genus	species
ASV2049	Bacteria	Acidobacteria	Acidobacteriia	Solibacterales	Solibacteraceae_(Subgroup_3)	Bryobacter	Unidentified_Bryobacter
ASV2050	Bacteria	Actinobacteria	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Amycolatopsis	Unidentified_Amycolatopsis
ASV2051	Bacteria	Acidobacteria	Subgroup_6	Unidentified_Acidobacteria	Unidentified_Acidobacteria	Unidentified_Acidobacteria	Unidentified_Acidobacteria
ASV2052	Bacteria	Chloroflexi	Anaerolineae	SBR1031	Unidentified	Unidentified	Unidentified
ASV2053	Bacteria	Gemmatimonadetes	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	uncultured	uncultured_bacterium
ASV2054	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Unidentified_Acinetobacter
ASV2055	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Nannocystaceae	Nannocystis	Unidentified_Nannocystis
ASV2047	Bacteria	Gemmatimonadetes	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	uncultured	uncultured_bacterium
ASV2057	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Unidentified_Burkholderiaceae	Unidentified_Burkholderiaceae
ASV2058	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Sandaracinaceae	uncultured	uncultured
ASV2031	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
ASV2060	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Unidentified_Enterobacteriaceae	Unidentified_Enterobacteriaceae
ASV2059	Bacteria	Bacteroidetes	Rhodothermia	Balneolales	Balneolaceae	Unidentified_Balneolaceae	Unidentified_Balneolaceae
ASV2061	Bacteria	Chloroflexi	Chloroflexia	Thermomicrobiales	JG30-KF-CM45	uncultured_bacterium	uncultured_bacterium
ASV2063	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bdellovibrionaceae	Bdellovibrio	uncultured_bacterium
